FID,time_period,time_format,granularity,geocode,label,geom,pact_m,pact_t,pact_f,pocu_t,pocu_m,pocu_f,psal_t,psal_m,psal_f,psel_t,ppar_t
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ab1,2024,P1Y,GRID_250,250mN097225E180275,250mN097225E180275,"MULTIPOLYGON (((27.97726478237931 -15.53367156072257, 27.979438249025865 -15.534320751354995, 27.980173758868794 -15.531902868068986, 27.97800027117447 -15.531253726391467, 27.97726478237931 -15.53367156072257)))",8,14,6,,,,,,,,
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ab2,2024,P1Y,GRID_250,250mN097350E195750,250mN097350E195750,"MULTIPOLYGON (((28.430429585323758 -14.034243152454128, 28.4326157210152 -14.034861535549034, 28.43330906732038 -14.032424457421161, 28.43112291145984 -14.03180612573684, 28.430429585323758 -14.034243152454128)))",5,11,6,,,,,,,,
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ab3,2024,P1Y,GRID_250,250mN097275E180425,250mN097275E180425,"MULTIPOLYGON (((27.986023864037417 -15.520461935340768, 27.988197419343972 -15.521110936923069, 27.988932563999562 -15.51869276947602, 27.986758987650127 -15.518043816878787, 27.986023864037417 -15.520461935340768)))",7,17,10,,,,,,,,
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ab4,2024,P1Y,GRID_250,250mN097575E180300,250mN097575E180300,"MULTIPOLYGON (((28.008427387051764 -15.540346478427569, 28.01060061138516 -15.540996353892691, 28.011336348179608 -15.538577753816796, 28.00916310277619 -15.537927927354533, 28.008427387051764 -15.540346478427569)))",8,10,3,,,,,,,,
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ab5,2024,P1Y,GRID_250,250mN097600E180725,250mN097600E180725,"MULTIPOLYGON (((28.023098902151975 -15.499875925260037, 28.025272465705186 -15.500525019529594, 28.026007069138476 -15.498105842030872, 28.023833484537043 -15.497456796835099, 28.023098902151975 -15.499875925260037)))",8,12,4,,,,,,,,
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ab6,2024,P1Y,GRID_250,250mN097625E179950,250mN097625E179950,"MULTIPOLYGON (((28.002466078300102 -15.57550410331802, 28.004638969837693 -15.57615476939424, 28.005375699220753 -15.57373650681774, 28.003202786590446 -15.573085889694816, 28.002466078300102 -15.57550410331802)))",5,13,8,,,,,,,,
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ab7,2024,P1Y,GRID_250,250mN097625E180325,250mN097625E180325,"MULTIPOLYGON (((28.01350957477313 -15.539227632724556, 28.015682782556734 -15.539877564082518, 28.01641849359763 -15.537458834893375, 28.014245264742005 -15.536808952548542, 28.01350957477313 -15.539227632724556)))",9,17,8,,,,,,,,
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ab8,2024,P1Y,GRID_250,250mN097625E180350,250mN097625E180350,"MULTIPOLYGON (((28.014245264742005 -15.536808952548542, 28.01641849359763 -15.537458834893375, 28.01715413673855 -15.53504007460747, 28.01498088681227 -15.53439024127975, 28.014245264742005 -15.536808952548542)))",6,10,4,,,,,,,,
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ab9,2024,P1Y,GRID_250,250mN097625E196250,250mN097625E196250,"MULTIPOLYGON (((28.46833400663974 -13.992290556423605, 28.470520350188348 -13.992908464179628, 28.47121254413187 -13.990470216873218, 28.46902618042589 -13.989852360643605, 28.46833400663974 -13.992290556423605)))",5,10,6,,,,,,,,
Malla de 250m-2024.fid-68150d23_197ad17ab1b_aba,2024,P1Y,GRID_250,250mN097625E197000,250mN097625E197000,"MULTIPOLYGON (((28.489069318060853 -13.919131573906508, 28.491256265681734 -13.919747934174831, 28.4919463971625 -13.917308782925199, 28.489759429429043 -13.916692474300177, 28.489069318060853 -13.919131573906508)))",9,17,8,,,,,,,,
Malla de 250m-2024.fid-68150d23_197ad17ab1b_abb,2024,P1Y,GRID_250,250mN097625E197025,250mN097625E197025,"MULTIPOLYGON (((28.489759429429043 -13.916692474300177, 28.4919463971625 -13.917308782925199, 28.492636459874543 -13.914869601569224, 28.490449472029994 -13.914253344591412, 28.489759429429043 -13.916692474300177)))",4,10,6,,,,,,,,
Malla de 250m-2024.fid-68150d23_197ad17ab1b_abc,2024,P1Y,GRID_250,250mN099300E179875,250mN099300E179875,"MULTIPOLYGON (((28.145793382071098 -15.626479351159444, 28.14796494797458 -15.62713369276791, 28.148703298337946 -15.624712237338873, 28.146531711224046 -15.624057944881885, 28.145793382071098 -15.626479351159444)))",16,25,9,24,15,9,21,14,7,3,0
Malla de 250m-2024.fid-68150d23_197ad17ab1b_abd,2024,P1Y,GRID_250,250mN099300E179900,250mN099300E179900,"MULTIPOLYGON (((28.146531711224046 -15.624057944881885, 28.148703298337946 -15.624712237338873, 28.149441580732557 -15.622290750520477, 28.147269972409585 -15.621636507218987, 28.146531711224046 -15.624057944881885)))",6,14,8,,,,,,,,
Malla de 250m-2024.fid-68150d23_197ad17ab1b_abe,2024,P1Y,GRID_250,250mN099325E179450,250mN099325E179450,"MULTIPOLYGON (((28.13540259386078 -15.668293631187483, 28.137573780104763 -15.668948860636865, 28.138313306969827 -15.666527889946243, 28.13614209949025 -15.665872709583075, 28.13540259386078 -15.668293631187483)))",10,21,12,,,,,,,,
Malla de 250m-2024.fid-68150d23_197ad17ab1b_abf,2024,P1Y,GRID_250,250mN099325E179475,250mN099325E179475,"MULTIPOLYGON (((28.13614209949025 -15.665872709583075, 28.138313306969827 -15.666527889946243, 28.13905276588732 -15.664106887839433, 28.1368815371735 -15.66345175656649, 28.13614209949025 -15.665872709583075)))",27,61,34,56,27,29,52,23,29,4,5
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ac0,2024,P1Y,GRID_250,250mN099325E179500,250mN099325E179500,"MULTIPOLYGON (((28.1368815371735 -15.66345175656649, 28.13905276588732 -15.664106887839433, 28.13979215685589 -15.66168585431775, 28.13762090690923 -15.661030772139066, 28.1368815371735 -15.66345175656649)))",26,35,10,26,20,6,23,17,6,3,10
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ac1,2024,P1Y,GRID_250,250mN099325E179525,250mN099325E179525,"MULTIPOLYGON (((28.13762090690923 -15.661030772139066, 28.13979215685589 -15.66168585431775, 28.140531479874227 -15.659264789382545, 28.138360208696103 -15.658609756302138, 28.13762090690923 -15.661030772139066)))",12,26,14,,,,,,,,
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ac2,2024,P1Y,GRID_250,250mN097700E181000,250mN097700E181000,"MULTIPOLYGON (((28.03987064011114 -15.475858335277767, 28.0420443600614 -15.476507099005635, 28.042778300455243 -15.474087383296226, 28.04060455946523 -15.473438668698583, 28.03987064011114 -15.475858335277767)))",7,13,6,,,,,,,,
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ac3,2024,P1Y,GRID_250,250mN099325E179550,250mN099325E179550,"MULTIPOLYGON (((28.138360208696103 -15.658609756302138, 28.140531479874227 -15.659264789382545, 28.14127073494098 -15.65684369303515, 28.13909944253275 -15.656188709057059, 28.138360208696103 -15.658609756302138)))",17,32,15,28,15,14,25,14,12,3,4
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ac4,2024,P1Y,GRID_250,250mN099325E179600,250mN099325E179600,"MULTIPOLYGON (((28.13983860841789 -15.653767630405154, 28.142009922054836 -15.654422565276919, 28.14274904121447 -15.652001406109184, 28.140577706350197 -15.65134652034778, 28.13983860841789 -15.653767630405154)))",6,15,9,,,,,,,,
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ac5,2024,P1Y,GRID_250,250mN099325E179700,250mN099325E179700,"MULTIPOLYGON (((28.14279459241672 -15.644083001756178, 28.144965990954713 -15.644737740162363, 28.14570483828416 -15.642316455370027, 28.143533418524378 -15.641661766090296, 28.14279459241672 -15.644083001756178)))",91,193,103,148,73,75,137,67,70,11,45
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ac6,2024,P1Y,GRID_250,250mN099325E179725,250mN099325E179725,"MULTIPOLYGON (((28.143533418524378 -15.641661766090296, 28.14570483828416 -15.642316455370027, 28.14644361765273 -15.639895139174904, 28.144272176672516 -15.639240499025652, 28.143533418524378 -15.641661766090296)))",69,148,79,117,58,59,106,53,53,11,31
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ac7,2024,P1Y,GRID_250,250mN099325E179750,250mN099325E179750,"MULTIPOLYGON (((28.144272176672516 -15.639240499025652, 28.14644361765273 -15.639895139174904, 28.14718232905913 -15.637473791578325, 28.145010866859856 -15.636819200563572, 28.144272176672516 -15.639240499025652)))",142,295,153,251,127,124,232,113,119,19,44
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ac8,2024,P1Y,GRID_250,250mN099325E179775,250mN099325E179775,"MULTIPOLYGON (((28.145010866859856 -15.636819200563572, 28.14718232905913 -15.637473791578325, 28.147920972501996 -15.635052412581661, 28.145749489085066 -15.634397870705424, 28.145010866859856 -15.636819200563572)))",63,148,85,100,41,59,95,38,57,6,48
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ac9,2024,P1Y,GRID_250,250mN099325E179800,250mN099325E179800,"MULTIPOLYGON (((28.145749489085066 -15.634397870705424, 28.147920972501996 -15.635052412581661, 28.14865954798002 -15.632631002186212, 28.146488043346803 -15.631976509452528, 28.145749489085066 -15.634397870705424)))",45,90,45,74,38,36,59,28,31,15,16
Malla de 250m-2024.fid-68150d23_197ad17ab1b_aca,2024,P1Y,GRID_250,250mN099325E197650,250mN099325E197650,"MULTIPOLYGON (((28.655697606460922 -13.897640813404609, 28.657883876029896 -13.89825925126062, 28.658573587956504 -13.895815790987685, 28.65638729820232 -13.895197405112862, 28.655697606460922 -13.897640813404609)))",48,88,41,83,46,38,33,13,20,51,5
Malla de 250m-2024.fid-68150d23_197ad17ab1b_acb,2024,P1Y,GRID_250,250mN099350E179475,250mN099350E179475,"MULTIPOLYGON (((28.138313306969827 -15.666527889946243, 28.140484495580345 -15.667183123192407, 28.141223975733773 -15.664762071992227, 28.13905276588732 -15.664106887839433, 28.138313306969827 -15.666527889946243)))",134,272,138,232,119,113,216,108,108,16,40
Malla de 250m-2024.fid-68150d23_197ad17ab1b_acc,2024,P1Y,GRID_250,250mN099350E179500,250mN099350E179500,"MULTIPOLYGON (((28.13905276588732 -15.664106887839433, 28.141223975733773 -15.664762071992227, 28.1419633879369 -15.662340989373147, 28.13979215685589 -15.66168585431775, 28.13905276588732 -15.664106887839433)))",73,151,78,125,62,63,118,57,61,8,26
Malla de 250m-2024.fid-68150d23_197ad17ab1b_acd,2024,P1Y,GRID_250,250mN099350E179525,250mN099350E179525,"MULTIPOLYGON (((28.13979215685589 -15.66168585431775, 28.1419633879369 -15.662340989373147, 28.142702732188397 -15.659919875336529, 28.140531479874227 -15.659264789382545, 28.13979215685589 -15.66168585431775)))",14,19,5,19,14,5,14,10,4,5,0
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ace,2024,P1Y,GRID_250,250mN099350E179550,250mN099350E179550,"MULTIPOLYGON (((28.140531479874227 -15.659264789382545, 28.142702732188397 -15.659919875336529, 28.14344200848695 -15.657498729883695, 28.14127073494098 -15.65684369303515, 28.140531479874227 -15.659264789382545)))",62,133,72,116,54,62,108,50,58,8,17
Malla de 250m-2024.fid-68150d23_197ad17ab1b_acf,2024,P1Y,GRID_250,250mN099350E179575,250mN099350E179575,"MULTIPOLYGON (((28.14127073494098 -15.65684369303515, 28.14344200848695 -15.657498729883695, 28.144181216831228 -15.655077553015996, 28.142009922054836 -15.654422565276919, 28.14127073494098 -15.65684369303515)))",56,110,54,96,50,46,85,43,43,10,15
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ad0,2024,P1Y,GRID_250,250mN099350E179600,250mN099350E179600,"MULTIPOLYGON (((28.142009922054836 -15.654422565276919, 28.144181216831228 -15.655077553015996, 28.144920357219885 -15.652656344734766, 28.14274904121447 -15.652001406109184, 28.142009922054836 -15.654422565276919)))",71,150,80,127,61,66,110,49,61,17,24
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ad1,2024,P1Y,GRID_250,250mN099350E179625,250mN099350E179625,"MULTIPOLYGON (((28.14274904121447 -15.652001406109184, 28.144920357219885 -15.652656344734766, 28.145659429651612 -15.650235105041347, 28.143488092418547 -15.64958021553328, 28.14274904121447 -15.652001406109184)))",81,164,84,141,71,70,122,61,62,19,23
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ad2,2024,P1Y,GRID_250,250mN099350E179650,250mN099350E179650,"MULTIPOLYGON (((28.143488092418547 -15.64958021553328, 28.145659429651612 -15.650235105041347, 28.14639843412508 -15.647813833937088, 28.14422707566574 -15.647158993550564, 28.143488092418547 -15.64958021553328)))",114,222,108,187,96,92,164,83,81,24,35
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ad3,2024,P1Y,GRID_250,250mN099350E179675,250mN099350E179675,"MULTIPOLYGON (((28.14422707566574 -15.647158993550564, 28.14639843412508 -15.647813833937088, 28.147137370638948 -15.645392531423317, 28.144965990954713 -15.644737740162363, 28.14422707566574 -15.647158993550564)))",98,195,97,166,83,83,150,75,75,16,29
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ad4,2024,P1Y,GRID_250,250mN099350E179700,250mN099350E179700,"MULTIPOLYGON (((28.144965990954713 -15.644737740162363, 28.147137370638948 -15.645392531423317, 28.147876239191916 -15.642971197501398, 28.14570483828416 -15.642316455370027, 28.144965990954713 -15.644737740162363)))",202,426,224,339,168,171,316,155,161,23,87
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ad5,2024,P1Y,GRID_250,250mN099350E179725,250mN099350E179725,"MULTIPOLYGON (((28.14570483828416 -15.642316455370027, 28.147876239191916 -15.642971197501398, 28.148615039782623 -15.64054983217266, 28.14644361765273 -15.639895139174904, 28.14570483828416 -15.642316455370027)))",76,148,73,115,60,55,104,52,52,11,34
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ad6,2024,P1Y,GRID_250,250mN099350E179750,250mN099350E179750,"MULTIPOLYGON (((28.14644361765273 -15.639895139174904, 28.148615039782623 -15.64054983217266, 28.149353772409754 -15.63812843543845, 28.14718232905913 -15.637473791578325, 28.14644361765273 -15.639895139174904)))",100,193,93,166,88,78,152,80,72,14,27
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ad7,2024,P1Y,GRID_250,250mN101325E170925,250mN101325E170925,"MULTIPOLYGON (((28.05232579805824 -16.545896928008638, 28.05448810705347 -16.54657298962757, 28.055252467682838 -16.544158980945, 28.053090136853587 -16.5434829672708, 28.05232579805824 -16.545896928008638)))",9,16,7,,,,,,,,
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ad8,2024,P1Y,GRID_250,250mN102100E170975,250mN102100E170975,"MULTIPOLYGON (((28.12087829201607 -16.5620491852179, 28.12304004142509 -16.562726836635193, 28.123804944489184 -16.56031127558751, 28.12164317319493 -16.5596336722154, 28.12087829201607 -16.5620491852179)))",9,18,9,,,,,,,,
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ad9,2024,P1Y,GRID_250,250mN095050E179550,250mN095050E179550,"MULTIPOLYGON (((27.76704053697591 -15.546568818598017, 27.7670923619716 -15.54703214524064, 27.767070476021676 -15.547454366772936, 27.76896993947956 -15.548018714671988, 27.76970558880858 -15.545605969351552, 27.76753107124685 -15.544959956909034, 27.76704053697591 -15.546568818598017)))",18,41,24,36,16,20,25,12,13,11,5
Malla de 250m-2024.fid-68150d23_197ad17ab1b_ada,2024,P1Y,GRID_250,250mN095050E179575,250mN095050E179575,"MULTIPOLYGON (((27.76753107124685 -15.544959956909034, 27.76970558880858 -15.545605969351552, 27.77044117041967 -15.543193193301507, 27.76826663191801 -15.542547229430818, 27.76753107124685 -15.544959956909034)))",29,57,28,51,27,24,37,19,18,14,7
Malla de 250m-2024.fid-68150d23_197ad17ab1b_adb,2024,P1Y,GRID_250,250mN095050E179600,250mN095050E179600,"MULTIPOLYGON (((27.76937830856861 -15.540246208118228, 27.769344550706204 -15.540302571522075, 27.7687634670427 -15.541076031420168, 27.76865942151286 -15.541258718431328, 27.76826663191801 -15.542547229430818, 27.77044117041967 -15.543193193301507, 27.771176684311527 -15.540780386523176, 27.76937830856861 -15.540246208118228)))",5,11,7,12,5,7,9,,,3,0
Malla de 250m-2024.fid-68150d23_197ad17ab1b_adc,2024,P1Y,GRID_250,250mN095050E179650,250mN095050E179650,"MULTIPOLYGON (((27.770351568756183 -15.537904047659682, 27.771912130482836 -15.538367549017869, 27.772647508932305 -15.535954680786913, 27.770472907619073 -15.535308862655384, 27.769952917280104 -15.537015047512087, 27.770014958357326 -15.537138359394575, 27.770269184297508 -15.537578056094453, 27.77031694039146 -15.537670574908587, 27.770351568756183 -15.537904047659682)))",31,58,28,53,27,26,42,20,22,11,6
Malla de 250m-2024.fid-68150d23_197ad17ab1b_add,2024,P1Y,GRID_250,250mN102225E171425,250mN102225E171425,"MULTIPOLYGON (((28.14544632439644 -16.521949484858414, 28.14760837038551 -16.52262654288651, 28.148372165006 -16.52021015998738, 28.1462100971469 -16.51953315009347, 28.14544632439644 -16.521949484858414)))",4,11,7,,,,,,,,
